date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:08	1051/1051	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Nov%202022%2013:51:18%20GMT	http://www.engpellmaquinas.com.br/robots.txt		(from )
10:51:08	61278/61278	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2013:51:20%20GMT	http://www.engpellmaquinas.com.br/	C:/Users/alex.rmaia/Downloads/Site/Eng/www.engpellmaquinas.com.br/index.html	(from )
10:51:08	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%221332137-47e-51739b07b5240%22	http://www.engpellmaquinas.com.br/favicon.ico	C:/Users/alex.rmaia/Downloads/Site/Eng/www.engpellmaquinas.com.br/favicon.ico	(from )
10:51:09	23739/23739	---MC-	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/Users/alex.rmaia/Downloads/Site/Eng/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from )
10:51:09	4517/4517	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Jul%202015%2012:50:37%20GMT	http://www.engpellmaquinas.com.br/css/slider.css	C:/Users/alex.rmaia/Downloads/Site/Eng/www.engpellmaquinas.com.br/css/slider.css	(from )
10:51:09	15838/15838	---M--	200	added ('OK')	text/css	date:Fri,%2029%20May%202015%2014:58:00%20GMT	http://www.engpellmaquinas.com.br/css/buttons/buttons.css	C:/Users/alex.rmaia/Downloads/Site/Eng/www.engpellmaquinas.com.br/css/buttons/buttons.css	(from )
10:51:09	117153/117153	---M--	200	added ('OK')	text/css	date:Fri,%2029%20May%202015%2014:57:59%20GMT	http://www.engpellmaquinas.com.br/css/bootstrap.min.css	C:/Users/alex.rmaia/Downloads/Site/Eng/www.engpellmaquinas.com.br/css/bootstrap.min.css	(from )
10:51:11	2463/2463	---M--	200	added ('OK')	text/css	date:Fri,%2029%20May%202015%2014:57:59%20GMT	http://www.engpellmaquinas.com.br/css/jslider.css	C:/Users/alex.rmaia/Downloads/Site/Eng/www.engpellmaquinas.com.br/css/jslider.css	(from )
10:51:11	40601/40601	---M--	200	added ('OK')	text/css	etag:%221332464-9e99-518a5d83b7900%22	http://www.engpellmaquinas.com.br/css/settings.css?12312	C:/Users/alex.rmaia/Downloads/Site/Eng/www.engpellmaquinas.com.br/css/settingsb3dd.css	(from )
10:51:12	24321/24321	---M--	200	added ('OK')	text/css	date:Fri,%2029%20May%202015%2014:57:59%20GMT	http://www.engpellmaquinas.com.br/css/prettyPhoto.css	C:/Users/alex.rmaia/Downloads/Site/Eng/www.engpellmaquinas.com.br/css/prettyPhoto.css	(from )
